"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 14:59:48 GMT 2023","Mon Oct 09 15:00:09 GMT 2023","20653","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Oct 09 15:03:34 GMT 2023","Mon Oct 09 15:04:08 GMT 2023","33192","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Oct 09 15:03:11 GMT 2023","Mon Oct 09 15:03:47 GMT 2023","36241","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Mon Oct 09 15:03:25 GMT 2023","Mon Oct 09 15:04:01 GMT 2023","36461","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Oct 09 14:59:48 GMT 2023","Mon Oct 09 15:00:10 GMT 2023","21177","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Mon Oct 09 15:03:13 GMT 2023","Mon Oct 09 15:03:48 GMT 2023","34515","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Oct 09 14:59:48 GMT 2023","Mon Oct 09 15:00:09 GMT 2023","21139","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Mon Oct 09 15:02:03 GMT 2023","Mon Oct 09 15:02:30 GMT 2023","27429","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"failed","Mon Oct 09 15:02:44 GMT 2023","Mon Oct 09 15:03:00 GMT 2023","16654","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Mon Oct 09 15:03:28 GMT 2023","Mon Oct 09 15:04:00 GMT 2023","32722","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Mon Oct 09 15:03:24 GMT 2023","Mon Oct 09 15:04:01 GMT 2023","37021","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Mon Oct 09 14:59:48 GMT 2023","Mon Oct 09 15:00:10 GMT 2023","22036","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"failed","Mon Oct 09 15:02:58 GMT 2023","Mon Oct 09 15:03:11 GMT 2023","12324","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Mon Oct 09 15:02:14 GMT 2023","Mon Oct 09 15:02:45 GMT 2023","30763","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Mon Oct 09 15:02:19 GMT 2023","Mon Oct 09 15:02:51 GMT 2023","31943","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
